time,true_temperature,measured_temperature,lkf_estimate,ekf_estimate,laser_power,lkf_error_cov,ekf_error_cov
5.6000000000000005,438.0993964468975,435.6186003549519,446.60315889255503,438.24603860354546,100.0,0.171324175590326,0.18345542731548214
5.7,440.3233561845785,438.8167953737558,448.67825084850983,440.3978003582405,100.0,0.1712065706272195,0.18324536796154273
5.800000000000001,442.5387596192921,447.8499064138289,451.036922349575,442.8566570387162,100.0,0.17110036310212393,0.183046644598863
5.9,444.7455784146541,445.3741411713246,453.1727143529041,445.08059981828194,100.0,0.1710044433928057,0.18285678442187153
6.0,446.9437844457536,445.2298780328629,455.19651369044016,447.1880966978093,100.0,0.17091781083745394,0.18267582214721148
6.1000000000000005,449.13334980992613,448.31853196569347,457.25202573006095,449.3325473172294,100.0,0.17083956286441668,0.18250330879168636
6.2,451.3142468374794,451.4872059154349,459.3410360424865,451.5156348580999,100.0,0.17076888523759062,0.18233818886563224
6.300000000000001,453.48644810236556,456.42350790477906,461.53726759276316,453.81581795559225,100.0,0.17070504329731778,0.18217949765873862
6.4,455.64992643279606,457.720972079943,463.6800711884042,456.06145546504933,100.0,0.17064737409058256,0.18202601399028487
6.5,457.80465492179417,459.4892373737287,465.7921889844987,458.2766561296942,100.0,0.17059527929645285,0.18187738282441984
6.6000000000000005,459.9506069376797,459.32261643871925,467.792643946078,460.3749846238768,100.0,0.17054821886332905,0.1817331817882459
6.7,462.087756134482,461.29752375230913,469.7782930915029,462.45953190382994,100.0,0.17050570528386846,0.18159342333964748
6.800000000000001,464.2160764622754,467.26707274594634,471.92009968992716,464.71214167352286,100.0,0.17046729844162395,0.18145766228995333
6.9,466.3355421774335,467.3500426653357,473.95943822834374,466.85736334648226,100.0,0.17043260097062735,0.18132466237876546
7.0,468.44612785279645,469.1707800111732,475.9754387148671,468.979286434616,100.0,0.17040125407549123,0.1811945630572344
7.1000000000000005,470.5478083877471,470.88720084583707,477.9648108067456,471.0742966139125,100.0,0.17037293376520796,0.18106710978618717
7.2,472.64055901819114,470.00426673282607,479.8181728526855,473.0261018479058,100.0,0.17034734745878685,0.1809420920903813
7.300000000000001,474.7243553264368,473.934068502008,481.74721519499013,475.0594439800443,100.0,0.17032423092527155,0.18081987485786563
7.4,476.79917325096903,477.4026816629716,483.728530137182,477.14929562424385,100.0,0.17030334552458812,0.18069972826870562
7.5,478.86498909611413,476.82425305315667,485.5872256074782,479.1100225673054,100.0,0.17028447571915056,0.18058110416255885
7.6000000000000005,480.9217795415898,481.30035163180446,487.54454175600836,481.1761256423829,100.0,0.1702674268292479,0.18046440276973902
7.7,482.96952165193676,483.04424068513066,489.4792850065455,483.21902137412695,100.0,0.17025202300799788,0.1803488517167211
7.800000000000001,485.00819288582693,483.40990247281,491.3339141658747,485.177710216685,100.0,0.17023810541411835,0.18023437542930038
7.9,487.0377711052438,485.67375499530203,493.193179388957,487.1418543603882,100.0,0.17022553056297102,0.18012121142205564
8.0,489.0582345845316,490.0976140440864,495.1487624038654,489.2083165255518,100.0,0.17021416883830348,0.1800091343727167
8.1,491.0695620193077,487.2114831783753,496.88483719016335,491.0430956704557,100.0,0.17020390314888137,0.1798974509707703
8.200000000000001,493.07173253523547,493.6712445404726,498.80993534853064,493.07789320846865,100.0,0.1701946277157839,0.179787221224832
8.3,495.06472569665226,496.8391484691305,500.77463016448166,495.1546742156832,100.0,0.17018624697755566,0.1796772179212095
